,Original,ColibriS,SVD
A,24,1,16
AAPL,54,20,45
ABBV,0,0,0
ABNB,4,0,0
ABT,0,0,0
ACGL,28,19,14
ACN,42,12,27
ADBE,94,2,75
ADI,3,0,0
ADM,3,0,0
ADP,0,0,0
ADSK,0,0,0
AEE,14,0,7
AEP,49,2,38
AES,64,4,50
AFL,15,0,7
AIG,1,0,0
AIZ,16,0,8
AJG,56,34,40
AKAM,27,0,16
ALB,12,0,5
ALGN,0,0,0
ALL,0,0,0
ALLE,0,0,0
AMAT,82,1,62
AMCR,60,52,40
AMD,53,1,37
AME,33,0,18
AMGN,0,0,0
AMP,2,0,0
AMT,6,0,2
AMZN,101,4,84
ANET,63,30,46
ANSS,1,0,0
AON,0,0,0
AOS,46,29,31
APA,3,0,0
APD,0,0,0
APH,38,1,28
APTV,0,0,0
ARE,35,3,19
ATO,0,0,0
AVB,3,0,0
AVGO,95,11,75
AVY,0,0,0
AWK,23,0,16
AXON,0,0,0
AXP,0,0,0
AZO,0,0,0
BA,3,0,0
BAC,19,2,11
BALL,0,0,0
BAX,3,0,0
BBY,2,0,0
BDX,0,0,0
BEN,4,0,0
BF.B,0,0,0
BG,1,0,0
BK,0,0,0
BKNG,68,2,48
BKR,6,1,0
BLDR,79,3,62
BLK,1,0,0
BMY,72,2,50
BR,91,2,67
BRK.B,63,1,45
BRO,71,4,49
BSX,34,15,21
BWA,3,1,0
BX,17,0,8
BXP,8,0,4
C,0,0,0
CAG,59,6,46
CAH,49,0,32
CARR,26,1,18
CAT,1,0,0
CB,1,0,0
CBOE,62,17,47
CBRE,1,0,0
CCI,43,3,30
CCL,34,0,22
CDNS,91,8,68
CDW,1,0,0
CE,20,0,11
CEG,28,1,19
CF,2,0,0
CFG,25,7,16
CHD,13,0,4
CHRW,3,0,0
CHTR,1,0,0
CI,0,0,0
CINF,0,0,0
CL,0,0,0
CLX,0,0,0
CMCSA,28,27,18
CME,38,3,20
CMG,41,0,26
CMI,0,0,0
CMS,16,0,10
CNC,1,0,0
CNP,8,0,2
COF,0,0,0
COO,2,0,0
COP,2,0,0
COST,49,16,37
CPB,42,0,30
CPRT,94,7,73
CPT,13,0,7
CRL,7,0,2
CRM,59,2,39
CRWD,27,0,18
CSCO,0,0,0
CSGP,0,0,0
CSX,0,0,0
CTAS,75,2,58
CTLT,0,0,0
CTRA,0,0,0
CTSH,32,0,21
CTVA,60,2,39
CVS,19,0,12
CVX,1,0,0
CZR,0,0,0
D,50,2,31
DAL,2,0,0
DD,0,0,0
DE,0,0,0
DECK,79,5,63
DELL,75,3,54
DFS,0,0,0
DG,79,4,64
DGX,6,0,1
DHI,68,3,52
DHR,2,0,0
DIS,2,0,0
DLR,26,0,14
DLTR,3,0,0
DOC,24,2,15
DOV,0,0,0
DOW,1,0,0
DPZ,0,0,0
DRI,0,0,0
DTE,16,0,8
DUK,10,0,3
DVA,15,4,4
DVN,11,0,4
DXCM,0,0,0
EA,0,0,0
EBAY,0,0,0
ECL,62,2,45
ED,6,0,2
EFX,0,0,0
EIX,1,0,0
EL,54,1,37
ELV,1,0,0
EMN,1,0,0
EMR,0,0,0
ENPH,38,14,21
EOG,4,0,0
EPAM,15,0,7
EQIX,29,11,16
EQR,0,0,0
EQT,1,0,0
ERIE,1,0,0
ES,69,15,51
ESS,1,0,0
ETN,93,7,72
ETR,17,0,7
EVRG,36,6,24
EW,1,0,0
EXC,1,0,0
EXPD,6,0,2
EXPE,11,0,3
EXR,5,0,1
F,0,0,0
FANG,0,0,0
FAST,73,3,53
FCX,2,0,0
FDS,0,0,0
FDX,61,31,40
FE,19,1,8
FFIV,18,0,7
FICO,91,9,69
FIS,10,0,3
FITB,20,1,9
FMC,80,12,57
FOX,1,0,0
FOXA,1,0,0
FRT,21,1,11
FSLR,0,0,0
FTNT,0,0,0
FTV,1,0,0
GD,2,0,0
GDDY,2,0,0
GE,82,8,65
GILD,0,0,0
GIS,24,0,17
GL,1,0,0
GLW,11,0,4
GM,1,0,0
GNRC,0,0,0
GOOG,81,9,65
GOOGL,82,12,61
GPC,34,0,20
GPN,1,0,0
GRMN,61,1,43
GS,5,0,0
GWW,46,0,28
HAL,1,0,0
HAS,0,0,0
HBAN,20,5,17
HCA,2,0,0
HD,1,0,0
HES,1,0,0
HIG,3,0,0
HII,0,0,0
HLT,41,0,27
HOLX,4,1,0
HON,1,0,0
HPE,0,0,0
HPQ,0,0,0
HRL,32,0,20
HSIC,6,0,2
HST,0,0,0
HSY,6,0,1
HUBB,30,0,17
HUM,0,0,0
HWM,83,7,68
IBM,1,0,0
ICE,20,2,8
IDXX,5,0,1
IEX,5,0,1
IFF,30,0,18
INCY,54,9,40
INTC,49,14,31
INTU,88,2,66
INVH,1,0,0
IP,0,0,0
IPG,3,1,0
IQV,4,0,0
IR,96,12,76
IRM,87,2,64
ISRG,2,0,0
IT,6,0,1
ITW,9,0,4
IVZ,14,0,7
J,1,0,0
JBHT,0,0,0
JBL,76,20,54
JCI,3,0,0
JKHY,8,0,2
JNJ,1,0,0
JNPR,2,0,0
JPM,36,1,24
K,33,1,26
KDP,7,0,1
KEY,19,2,12
KEYS,7,0,0
KHC,20,0,12
KIM,15,0,8
KKR,37,4,22
KLAC,80,4,62
KMB,1,0,0
KMI,4,0,0
KMX,2,0,0
KO,2,0,0
KR,0,0,0
L,30,0,19
LDOS,2,0,0
LEN,66,5,54
LH,9,0,2
LHX,1,0,0
LIN,81,19,58
LKQ,11,0,5
LLY,69,1,56
LMT,0,0,0
LNT,15,0,6
LOW,1,0,0
LRCX,94,13,77
LULU,17,0,7
LUV,10,0,4
LVS,1,0,0
LW,1,0,0
LYB,0,0,0
LYV,7,0,1
MA,61,5,47
MAA,30,1,20
MAR,90,10,70
MAS,42,1,29
MCD,1,0,0
MCHP,5,0,1
MCK,30,3,16
MCO,67,3,46
MDLZ,2,0,0
MDT,0,0,0
MET,13,5,6
META,92,13,73
MGM,1,0,0
MHK,5,0,0
MKC,1,0,0
MKTX,3,0,0
MLM,85,6,67
MMC,39,4,21
MMM,22,0,13
MNST,1,0,0
MO,5,0,0
MOH,1,0,0
MOS,6,0,1
MPC,6,0,2
MPWR,12,0,1
MRK,0,0,0
MRNA,63,14,44
MRO,5,0,0
MS,3,0,0
MSCI,0,0,0
MSFT,88,15,73
MSI,19,0,7
MTB,18,2,11
MTCH,1,0,0
MTD,42,4,32
MU,61,6,42
NCLH,1,0,0
NDAQ,5,0,1
NDSN,3,0,0
NEE,37,0,24
NEM,11,0,4
NFLX,73,6,50
NI,1,0,0
NKE,1,0,0
NOC,0,0,0
NOW,93,14,78
NRG,0,0,0
NSC,8,0,2
NTAP,34,5,21
NTRS,20,0,12
NUE,1,0,0
NVDA,97,13,79
NVR,64,6,49
NWS,25,0,14
NWSA,12,0,4
NXPI,35,5,19
O,44,5,36
ODFL,15,0,8
OKE,0,0,0
OMC,1,0,0
ON,0,0,0
ORCL,38,0,28
ORLY,27,0,18
OTIS,5,0,1
OXY,3,0,0
PANW,80,14,63
PARA,6,0,2
PAYC,1,0,0
PAYX,0,0,0
PCAR,103,11,79
PCG,3,0,0
PEG,0,0,0
PEP,1,0,0
PFE,69,6,49
PFG,23,3,13
PG,0,0,0
PGR,1,0,0
PH,95,13,75
PHM,95,17,80
PKG,10,0,2
PLD,0,0,0
PLTR,76,3,59
PM,0,0,0
PNC,25,4,12
PNR,70,6,54
PNW,0,0,0
PODD,28,0,16
POOL,0,0,0
PPG,1,0,0
PPL,26,1,17
PRU,3,0,1
PSA,3,0,0
PSX,4,0,0
PTC,69,2,53
PWR,46,1,35
PYPL,17,0,7
QCOM,0,0,0
QRVO,0,0,0
RCL,91,12,72
REG,2,0,0
REGN,0,0,0
RF,19,3,11
RJF,4,0,1
RL,3,0,0
RMD,22,0,10
ROK,2,0,0
ROL,0,0,0
ROP,93,9,69
ROST,0,0,0
RSG,53,2,31
RTX,23,1,13
SBAC,29,0,20
SBUX,0,0,0
SCHW,21,2,13
SHW,17,0,7
SJM,23,0,13
SLB,2,0,0
SMCI,64,4,48
SNA,41,1,25
SNPS,95,13,68
SO,0,0,0
SPG,2,0,0
SPGI,35,0,23
SRE,17,0,8
STE,2,0,0
STLD,0,0,0
STT,5,0,0
STX,5,0,1
STZ,0,0,0
SWK,5,0,0
SWKS,1,0,0
SYF,2,0,0
SYK,4,0,0
SYY,14,0,8
T,11,1,3
TAP,8,0,1
TDG,90,13,71
TDY,0,0,0
TECH,0,0,0
TEL,3,0,0
TER,2,0,0
TFC,20,0,13
TFX,0,0,0
TGT,18,0,10
TJX,32,4,22
TMO,6,0,1
TMUS,0,0,0
TPR,4,1,0
TRGP,19,0,9
TRMB,1,0,0
TROW,3,0,0
TRV,0,0,0
TSCO,1,0,0
TSLA,1,0,0
TSN,33,0,19
TT,44,0,32
TTWO,84,14,66
TXN,3,0,0
TXT,1,0,0
TYL,50,0,36
UAL,0,0,0
UBER,97,10,77
UDR,7,0,1
UHS,0,0,0
ULTA,3,0,0
UNH,0,0,0
UNP,3,0,0
UPS,11,0,5
URI,11,0,2
USB,19,1,10
Unnamed: 0,100,22,81
V,66,5,53
VICI,14,0,8
VLO,0,0,0
VMC,45,1,29
VRSK,87,9,65
VRSN,0,0,0
VRTX,23,0,12
VST,62,3,46
VTR,0,0,0
VTRS,4,0,0
VZ,4,0,0
WAB,21,0,9
WAT,12,0,5
WBA,62,9,46
WBD,0,0,0
WDC,13,0,6
WEC,32,0,23
WELL,80,8,62
WFC,1,0,0
WM,0,0,0
WMB,2,0,0
WMT,6,0,0
WRB,5,0,1
WST,8,0,1
WTW,0,0,0
WY,2,0,0
WYNN,1,0,0
XEL,27,0,15
XOM,0,0,0
XYL,0,0,0
YUM,1,0,0
ZBH,2,0,0
ZBRA,4,0,0
ZTS,6,0,0
